crypto;date;courscloture
egld;13/07/2023;37,062309
egld;14/07/2023;36,428665
egld;15/07/2023;36,685413
egld;16/07/2023;36,979458
egld;17/07/2023;37,153637
egld;18/07/2023;36,081917
egld;19/07/2023;35,891747
egld;20/07/2023;34,036236
egld;21/07/2023;33,463844
egld;22/07/2023;33,13105
egld;23/07/2023;33,82653
egld;24/07/2023;32,370132
egld;25/07/2023;32,365601
egld;26/07/2023;32,483688
egld;27/07/2023;32,478813
egld;28/07/2023;32,833626
egld;29/07/2023;32,68327
egld;30/07/2023;32,205486
egld;31/07/2023;32,02113
egld;01/08/2023;32,173531
egld;02/08/2023;31,319611
egld;03/08/2023;31,106844
egld;04/08/2023;31,07056
egld;05/08/2023;31,091299
egld;06/08/2023;30,921232
egld;07/08/2023;30,842155
egld;08/08/2023;31,600407
egld;09/08/2023;31,03644
egld;10/08/2023;30,554296
egld;11/08/2023;30,385838
egld;12/08/2023;30,529243
egld;13/08/2023;31,054358
egld;14/08/2023;30,844713
egld;15/08/2023;29,480112
egld;16/08/2023;28,591557
egld;17/08/2023;26,822426
egld;18/08/2023;27,36014
egld;19/08/2023;27,827171
egld;20/08/2023;27,585499
egld;21/08/2023;26,748322
egld;22/08/2023;26,142298
egld;23/08/2023;26,413382
egld;24/08/2023;25,611052
egld;25/08/2023;25,321796
egld;26/08/2023;25,137384
egld;27/08/2023;25,148109
egld;28/08/2023;25,518339
egld;29/08/2023;26,228365
egld;30/08/2023;26,395042
egld;31/08/2023;26,088408
egld;01/09/2023;24,902653
egld;02/09/2023;24,813873
egld;03/09/2023;24,867218
egld;04/09/2023;24,908325
egld;05/09/2023;25,007397
egld;06/09/2023;24,595976
egld;07/09/2023;24,767056
egld;08/09/2023;24,535738
egld;09/09/2023;24,470737
egld;10/09/2023;23,583633
egld;11/09/2023;22,677111
egld;12/09/2023;22,894604
egld;13/09/2023;23,625519
egld;14/09/2023;24,433289
egld;15/09/2023;24,802074
egld;16/09/2023;26,595276
egld;17/09/2023;25,395458
egld;18/09/2023;25,714624
egld;19/09/2023;26,139286
egld;20/09/2023;25,764807
egld;21/09/2023;26,171787
egld;22/09/2023;25,404213
egld;23/09/2023;25,09029
egld;24/09/2023;24,229921
egld;25/09/2023;24,727745
egld;26/09/2023;24,531883
egld;27/09/2023;23,659544
egld;28/09/2023;24,773483
egld;29/09/2023;25,152601
egld;30/09/2023;25,364487
egld;01/10/2023;25,914946
egld;02/10/2023;24,895975
egld;03/10/2023;24,444914
egld;04/10/2023;24,719156
egld;05/10/2023;24,049154
egld;06/10/2023;24,28544
egld;07/10/2023;24,195465
egld;08/10/2023;24,520334
egld;09/10/2023;22,877609
egld;10/10/2023;22,982351
egld;11/10/2023;22,805977
egld;12/10/2023;23,178366
egld;13/10/2023;23,460663
egld;14/10/2023;23,972544
egld;15/10/2023;24,516773
egld;16/10/2023;25,328394
egld;17/10/2023;24,269848
egld;18/10/2023;24,425472
egld;19/10/2023;23,463854
egld;20/10/2023;24,910599
egld;21/10/2023;25,913727
egld;22/10/2023;26,880238
egld;23/10/2023;29,19808
egld;24/10/2023;28,797274
egld;25/10/2023;28,991846
egld;26/10/2023;29,087873
egld;27/10/2023;28,702551
egld;28/10/2023;29,047871
egld;29/10/2023;30,061434
egld;30/10/2023;30,903812
egld;31/10/2023;30,010832
egld;01/11/2023;32,22781
egld;02/11/2023;32,980972
egld;03/11/2023;32,85154
egld;04/11/2023;34,65984
egld;05/11/2023;47,883797
egld;06/11/2023;44,499599
egld;07/11/2023;42,893314
egld;08/11/2023;42,776718
egld;09/11/2023;41,756413
egld;10/11/2023;46,185383
egld;11/11/2023;43,794727
egld;12/11/2023;44,74173
egld;13/11/2023;44,042477
egld;14/11/2023;45,114952
egld;15/11/2023;47,072659
egld;16/11/2023;43,450218
egld;17/11/2023;45,504688
egld;18/11/2023;43,39304
egld;19/11/2023;46,326122
egld;20/11/2023;44,451859
egld;21/11/2023;40,002544
egld;22/11/2023;43,451897
egld;23/11/2023;43,994652
egld;24/11/2023;47,034954
egld;25/11/2023;46,647717
egld;26/11/2023;45,233734
egld;27/11/2023;43,965729
egld;28/11/2023;43,867886
egld;29/11/2023;43,490414
egld;30/11/2023;43,478771
egld;01/12/2023;45,284386
egld;02/12/2023;46,473454
egld;03/12/2023;49,395737
egld;04/12/2023;52,153027
egld;05/12/2023;50,456059
egld;06/12/2023;48,474731
egld;07/12/2023;50,014336
egld;08/12/2023;52,300823
egld;09/12/2023;59,360264
egld;10/12/2023;64,643158
egld;11/12/2023;63,634079
egld;12/12/2023;61,898468
egld;13/12/2023;59,592781
