crypto;date;courscloture;;;;
polygon;16/06/2023;0,59;;;;
polygon;15/06/2023;0,591;;;;
polygon;14/06/2023;0,619;;;;
polygon;13/06/2023;0,645;;;;
polygon;12/06/2023;0,643;;;;
polygon;11/06/2023;0,635;;;;
polygon;10/06/2023;0,61;;;;
polygon;09/06/2023;0,726;;;;
polygon;08/06/2023;0,781;;;;
polygon;07/06/2023;0,765;;;;
polygon;06/06/2023;0,822;;;;
polygon;05/06/2023;0,835;;;;
polygon;04/06/2023;0,893;;;;
polygon;03/06/2023;0,9;;;;
polygon;02/06/2023;0,899;;;;
polygon;01/06/2023;0,889;;;;
polygon;31/05/2023;0,892;;;;
polygon;30/05/2023;0,901;;;;
polygon;29/05/2023;0,908;;;;
polygon;28/05/2023;0,94;;;;
polygon;27/05/2023;0,921;;;;
polygon;26/05/2023;0,91;;;;
polygon;25/05/2023;0,89;;;;
polygon;24/05/2023;0,873;;;;
polygon;23/05/2023;0,889;;;;
polygon;22/05/2023;0,872;;;;
polygon;21/05/2023;0,856;;;;
polygon;20/05/2023;0,877;;;;
polygon;19/05/2023;0,872;;;;
polygon;18/05/2023;0,872;;;;
polygon;17/05/2023;0,886;;;;
polygon;16/05/2023;0,845;;;;
polygon;15/05/2023;0,859;;;;
polygon;14/05/2023;0,859;;;;
polygon;13/05/2023;0,849;;;;
polygon;12/05/2023;0,865;;;;
polygon;11/05/2023;0,841;;;;
polygon;10/05/2023;0,876;;;;
polygon;09/05/2023;0,876;;;;
polygon;08/05/2023;0,901;;;;
polygon;07/05/2023;0,963;;;;
polygon;06/05/2023;0,975;;;;
polygon;05/05/2023;0,998;;;;
polygon;04/05/2023;0,983;;;;
polygon;03/05/2023;1,006;;;;
polygon;02/05/2023;0,977;;;;
polygon;01/05/2023;0,959;;;;
polygon;30/04/2023;0,98;;;;
polygon;29/04/2023;1,003;;;;
polygon;28/04/2023;0,998;;;;
polygon;27/04/2023;1,012;;;;
polygon;26/04/2023;0,986;;;;
polygon;25/04/2023;1,004;;;;
polygon;24/04/2023;0,989;;;;
polygon;23/04/2023;1,004;;;;
polygon;22/04/2023;1,025;;;;
polygon;21/04/2023;1,012;;;;
polygon;20/04/2023;1,046;;;;
polygon;19/04/2023;1,084;;;;
polygon;18/04/2023;1,171;;;;
polygon;17/04/2023;1,153;;;;
polygon;16/04/2023;1,183;;;;
polygon;15/04/2023;1,17;;;;
polygon;14/04/2023;1,16;;;;
polygon;13/04/2023;1,134;;;;
polygon;12/04/2023;1,103;;;;
polygon;11/04/2023;1,112;;;;
polygon;10/04/2023;1,121;;;;
polygon;09/04/2023;1,101;;;;
polygon;08/04/2023;1,102;;;;
polygon;07/04/2023;1,106;;;;
polygon;06/04/2023;1,115;;;;
polygon;05/04/2023;1,14;;;;
polygon;04/04/2023;1,139;;;;
polygon;03/04/2023;1,097;;;;
polygon;02/04/2023;1,095;;;;
polygon;01/04/2023;1,111;;;;
polygon;31/03/2023;1,118;;;;
polygon;30/03/2023;1,093;;;;
polygon;29/03/2023;1,123;;;;
polygon;28/03/2023;1,086;;;;
polygon;27/03/2023;1,046;;;;
polygon;26/03/2023;1,104;;;;
polygon;25/03/2023;1,079;;;;
polygon;24/03/2023;1,096;;;;
polygon;23/03/2023;1,136;;;;
polygon;22/03/2023;1,107;;;;
polygon;21/03/2023;1,154;;;;
polygon;20/03/2023;1,102;;;;
polygon;19/03/2023;1,164;;;;
polygon;18/03/2023;1,171;;;;
polygon;17/03/2023;1,223;;;;
polygon;16/03/2023;1,148;;;;
polygon;15/03/2023;1,111;;;;
polygon;14/03/2023;1,197;;;;
polygon;13/03/2023;1,192;;;;
polygon;12/03/2023;1,147;;;;
polygon;11/03/2023;1,056;;;;
polygon;10/03/2023;1,058;;;;
polygon;09/03/2023;1,017;;;;
polygon;08/03/2023;1,05;;;;
polygon;07/03/2023;1,15;;;;
polygon;06/03/2023;1,131;;;;
polygon;05/03/2023;1,136;;;;
polygon;04/03/2023;1,128;;;;
polygon;03/03/2023;1,168;;;;
polygon;02/03/2023;1,227;;;;
polygon;01/03/2023;1,25;;;;
polygon;28/02/2023;1,195;;;;
polygon;27/02/2023;1,235;;;;
polygon;26/02/2023;1,283;;;;
polygon;25/02/2023;1,247;;;;
polygon;24/02/2023;1,265;;;;
polygon;23/02/2023;1,353;;;;
polygon;22/02/2023;1,394;;;;
polygon;21/02/2023;1,386;;;;
polygon;20/02/2023;1,475;;;;
polygon;19/02/2023;1,482;;;;
polygon;18/02/2023;1,485;;;;
polygon;17/02/2023;1,525;;;;
polygon;16/02/2023;1,371;;;;
polygon;15/02/2023;1,328;;;;
polygon;14/02/2023;1,258;;;;
polygon;13/02/2023;1,184;;;;
polygon;12/02/2023;1,238;;;;
polygon;11/02/2023;1,25;;;;
polygon;10/02/2023;1,231;;;;
polygon;09/02/2023;1,23;;;;
polygon;08/02/2023;1,306;;;;
polygon;07/02/2023;1,271;;;;
polygon;06/02/2023;1,191;;;;
polygon;05/02/2023;1,203;;;;
polygon;04/02/2023;1,251;;;;
polygon;03/02/2023;1,245;;;;
polygon;02/02/2023;1,178;;;;
polygon;01/02/2023;1,194;;;;
polygon;31/01/2023;1,109;;;;
polygon;30/01/2023;1,087;;;;
polygon;29/01/2023;1,178;;;;
polygon;28/01/2023;1,145;;;;
polygon;27/01/2023;1,158;;;;
polygon;26/01/2023;1,127;;;;
polygon;25/01/2023;0,992;;;;
polygon;24/01/2023;0,956;;;;
polygon;23/01/2023;0,994;;;;
polygon;22/01/2023;0,994;;;;
polygon;21/01/2023;0,989;;;;
polygon;20/01/2023;1,027;;;;
polygon;19/01/2023;0,953;;;;
polygon;18/01/2023;0,939;;;;
polygon;17/01/2023;0,994;;;;
polygon;16/01/2023;1,02;;;;
polygon;15/01/2023;0,983;;;;
polygon;14/01/2023;0,999;;;;
polygon;13/01/2023;0,93;;;;
polygon;12/01/2023;0,915;;;;
polygon;11/01/2023;0,891;;;;
polygon;10/01/2023;0,858;;;;
polygon;09/01/2023;0,843;;;;
polygon;08/01/2023;0,84;;;;
polygon;07/01/2023;0,806;;;;
polygon;06/01/2023;0,799;;;;
polygon;05/01/2023;0,789;;;;
polygon;04/01/2023;0,807;;;;
polygon;03/01/2023;0,78;;;;
polygon;02/01/2023;0,781;;;;
polygon;01/01/2023;0,761;;;;
