crypto;date;courscloture;;;;
cosmos;01/07/2023;9,5638;;;;
cosmos;30/06/2023;9,2871;;;;
cosmos;29/06/2023;8,9784;;;;
cosmos;28/06/2023;9,1247;;;;
cosmos;27/06/2023;9,4262;;;;
cosmos;26/06/2023;9,1856;;;;
cosmos;25/06/2023;9,4509;;;;
cosmos;24/06/2023;9,3848;;;;
cosmos;23/06/2023;9,3129;;;;
cosmos;22/06/2023;9,0018;;;;
cosmos;21/06/2023;9,0426;;;;
cosmos;20/06/2023;8,7727;;;;
cosmos;19/06/2023;8,599;;;;
cosmos;18/06/2023;8,5665;;;;
cosmos;17/06/2023;8,9002;;;;
cosmos;16/06/2023;8,7637;;;;
cosmos;15/06/2023;8,665;;;;
cosmos;14/06/2023;8,4989;;;;
cosmos;13/06/2023;8,6485;;;;
cosmos;12/06/2023;8,7385;;;;
cosmos;11/06/2023;8,4434;;;;
cosmos;10/06/2023;8,2376;;;;
cosmos;09/06/2023;9,1743;;;;
cosmos;08/06/2023;9,4336;;;;
cosmos;07/06/2023;9,4333;;;;
cosmos;06/06/2023;10,1476;;;;
cosmos;05/06/2023;10,0125;;;;
cosmos;04/06/2023;10,7498;;;;
cosmos;03/06/2023;10,6976;;;;
cosmos;02/06/2023;10,6519;;;;
cosmos;01/06/2023;10,3288;;;;
cosmos;31/05/2023;10,4592;;;;
cosmos;30/05/2023;10,8366;;;;
cosmos;29/05/2023;10,7508;;;;
cosmos;28/05/2023;10,9338;;;;
cosmos;27/05/2023;10,5468;;;;
cosmos;26/05/2023;10,5301;;;;
cosmos;25/05/2023;10,4795;;;;
cosmos;24/05/2023;10,4137;;;;
cosmos;23/05/2023;10,5293;;;;
cosmos;22/05/2023;10,4867;;;;
cosmos;21/05/2023;10,4747;;;;
cosmos;20/05/2023;10,6116;;;;
cosmos;19/05/2023;10,6122;;;;
cosmos;18/05/2023;10,7346;;;;
cosmos;17/05/2023;10,9329;;;;
cosmos;16/05/2023;10,8859;;;;
