crypto;date;courscloture;;;;
theta;13/06/2023;0,6402;;;;
theta;12/06/2023;0,6519;;;;
theta;11/06/2023;0,6472;;;;
theta;10/06/2023;0,6571;;;;
theta;09/06/2023;0,7463;;;;
theta;08/06/2023;0,7572;;;;
theta;07/06/2023;0,7538;;;;
theta;06/06/2023;0,8009;;;;
theta;05/06/2023;0,7781;;;;
theta;04/06/2023;0,8382;;;;
theta;03/06/2023;0,836;;;;
theta;02/06/2023;0,8401;;;;
theta;01/06/2023;0,8333;;;;
theta;31/05/2023;0,8341;;;;
theta;30/05/2023;0,8723;;;;
theta;29/05/2023;0,8648;;;;
theta;28/05/2023;0,8751;;;;
theta;27/05/2023;0,8498;;;;
theta;26/05/2023;0,8409;;;;
theta;25/05/2023;0,842;;;;
theta;24/05/2023;0,842;;;;
theta;23/05/2023;0,8701;;;;
theta;22/05/2023;0,855;;;;
theta;21/05/2023;0,851;;;;
theta;20/05/2023;0,889;;;;
theta;19/05/2023;0,9121;;;;
theta;18/05/2023;0,9126;;;;
theta;17/05/2023;0,93;;;;
theta;16/05/2023;0,9082;;;;
theta;15/05/2023;0,9088;;;;
theta;14/05/2023;0,893;;;;
theta;13/05/2023;0,905;;;;
theta;12/05/2023;0,9118;;;;
theta;11/05/2023;0,8921;;;;
theta;10/05/2023;0,921;;;;
theta;09/05/2023;0,898;;;;
theta;08/05/2023;0,894;;;;
theta;07/05/2023;0,9456;;;;
theta;06/05/2023;0,9607;;;;
theta;05/05/2023;1,0018;;;;
theta;04/05/2023;0,9908;;;;
theta;03/05/2023;1,0041;;;;
theta;02/05/2023;0,9838;;;;
theta;01/05/2023;0,9887;;;;
theta;30/04/2023;0,9862;;;;
theta;29/04/2023;1,0218;;;;
theta;28/04/2023;1,0053;;;;
theta;27/04/2023;1,0099;;;;
theta;26/04/2023;0,9971;;;;
theta;25/04/2023;1,0291;;;;
theta;24/04/2023;1,001;;;;
theta;23/04/2023;1,0198;;;;
theta;22/04/2023;1,0409;;;;
theta;21/04/2023;0,9921;;;;
theta;20/04/2023;1,0329;;;;
theta;19/04/2023;1,0978;;;;
theta;18/04/2023;1,221;;;;
theta;17/04/2023;1,116;;;;
theta;16/04/2023;1,1322;;;;
theta;15/04/2023;1,1291;;;;
theta;14/04/2023;1,1229;;;;
theta;13/04/2023;1,0832;;;;
theta;12/04/2023;1,0487;;;;
theta;11/04/2023;1,066;;;;
theta;10/04/2023;1,0851;;;;
theta;09/04/2023;1,05;;;;
theta;08/04/2023;1,058;;;;
theta;07/04/2023;1,058;;;;
theta;06/04/2023;1,0781;;;;
theta;05/04/2023;1,092;;;;
theta;04/04/2023;1,0922;;;;
theta;03/04/2023;1,053;;;;
theta;02/04/2023;1,0429;;;;
theta;01/04/2023;1,0821;;;;
theta;31/03/2023;1,0428;;;;
theta;30/03/2023;1,02;;;;
