crypto;date;courscloture
ETH;06/10/2023;1645,83
ETH;09/10/2023;1579,81
ETH;10/10/2023;1567,71
ETH;11/10/2023;1566,25
ETH;12/10/2023;1539,61
ETH;13/10/2023;1552,09
ETH;16/10/2023;1600,53
ETH;17/10/2023;1565,44
ETH;18/10/2023;1563,75
ETH;19/10/2023;1567,46
ETH;20/10/2023;1604,67
ETH;23/10/2023;1765,38
ETH;24/10/2023;1784,44
ETH;25/10/2023;1787,4
ETH;26/10/2023;1804,04
ETH;27/10/2023;1780,05
ETH;30/10/2023;1810,09
ETH;31/10/2023;1816,46
ETH;01/11/2023;1847,09
ETH;02/11/2023;1800,62
ETH;03/11/2023;1832,8
ETH;06/11/2023;1899,84
ETH;07/11/2023;1888,12
ETH;08/11/2023;1889,32
ETH;09/11/2023;2120,56
ETH;10/11/2023;2078,29
ETH;13/11/2023;2055,27
ETH;14/11/2023;1979,05
ETH;15/11/2023;2060,41
ETH;16/11/2023;1960,88
ETH;17/11/2023;1961,28
ETH;20/11/2023;2022,24
ETH;21/11/2023;1937,07
ETH;22/11/2023;2064,43
ETH;23/11/2023;2062,21
ETH;24/11/2023;2081,15
ETH;27/11/2023;2027,42
ETH;28/11/2023;2049,34
ETH;29/11/2023;2029,93
ETH;30/11/2023;2052,56
