crypto;date;courscloture;;;;
flow;14/06/2023;0,459;;;;
flow;13/06/2023;0,49;;;;
flow;12/06/2023;0,4959;;;;
flow;11/06/2023;0,5039;;;;
flow;10/06/2023;0,508;;;;
flow;09/06/2023;0,6119;;;;
flow;08/06/2023;0,6261;;;;
flow;07/06/2023;0,629;;;;
flow;06/06/2023;0,6749;;;;
flow;05/06/2023;0,6631;;;;
flow;04/06/2023;0,73;;;;
flow;03/06/2023;0,7259;;;;
flow;02/06/2023;0,7271;;;;
flow;01/06/2023;0,7189;;;;
flow;31/05/2023;0,7231;;;;
flow;30/05/2023;0,747;;;;
flow;29/05/2023;0,754;;;;
flow;28/05/2023;0,766;;;;
flow;27/05/2023;0,7501;;;;
flow;26/05/2023;0,746;;;;
flow;25/05/2023;0,744;;;;
flow;24/05/2023;0,7382;;;;
flow;23/05/2023;0,77;;;;
flow;22/05/2023;0,757;;;;
flow;21/05/2023;0,746;;;;
flow;20/05/2023;0,771;;;;
flow;19/05/2023;0,7759;;;;
flow;18/05/2023;0,7731;;;;
flow;17/05/2023;0,79;;;;
flow;16/05/2023;0,7659;;;;
flow;15/05/2023;0,7621;;;;
flow;14/05/2023;0,7548;;;;
flow;13/05/2023;0,7501;;;;
flow;12/05/2023;0,754;;;;
flow;11/05/2023;0,7481;;;;
flow;10/05/2023;0,7863;;;;
flow;09/05/2023;0,7781;;;;
flow;08/05/2023;0,768;;;;
flow;07/05/2023;0,8381;;;;
flow;06/05/2023;0,8471;;;;
flow;05/05/2023;0,8801;;;;
flow;04/05/2023;0,88;;;;
flow;03/05/2023;0,8673;;;;
flow;02/05/2023;0,8602;;;;
flow;01/05/2023;0,851;;;;
flow;30/04/2023;0,8889;;;;
flow;29/04/2023;0,9071;;;;
flow;28/04/2023;0,9039;;;;
flow;27/04/2023;0,9019;;;;
flow;26/04/2023;0,8851;;;;
flow;25/04/2023;0,9091;;;;
flow;24/04/2023;0,912;;;;
flow;23/04/2023;0,9019;;;;
flow;22/04/2023;0,9229;;;;
flow;21/04/2023;0,9031;;;;
flow;20/04/2023;0,9419;;;;
flow;19/04/2023;0,9559;;;;
flow;18/04/2023;1,06;;;;
flow;17/04/2023;1,0321;;;;
flow;16/04/2023;1,0681;;;;
flow;15/04/2023;1,059;;;;
flow;14/04/2023;1,0497;;;;
flow;13/04/2023;1,0189;;;;
flow;12/04/2023;0,9859;;;;
flow;11/04/2023;0,9961;;;;
flow;10/04/2023;1,0058;;;;
