crypto;date;courscloture
SOL;19/07/2023;26,372353
SOL;20/07/2023;25,375168
SOL;21/07/2023;25,544268
SOL;22/07/2023;24,535053
SOL;23/07/2023;24,766815
SOL;24/07/2023;23,381491
SOL;25/07/2023;23,279322
SOL;26/07/2023;25,177053
SOL;27/07/2023;25,099337
SOL;28/07/2023;24,846857
SOL;29/07/2023;25,168974
SOL;30/07/2023;24,261019
SOL;31/07/2023;23,720957
SOL;01/08/2023;23,998753
SOL;02/08/2023;23,145721
SOL;03/08/2023;22,636049
SOL;04/08/2023;22,793619
SOL;05/08/2023;22,632204
SOL;06/08/2023;23,185696
SOL;07/08/2023;23,068756
SOL;08/08/2023;24,211763
SOL;09/08/2023;24,378527
SOL;10/08/2023;24,613052
SOL;11/08/2023;24,582861
SOL;12/08/2023;24,906731
SOL;13/08/2023;24,242886
SOL;14/08/2023;25,142822
SOL;15/08/2023;23,896585
SOL;16/08/2023;22,811975
SOL;17/08/2023;21,709974
SOL;18/08/2023;21,335493
SOL;19/08/2023;21,879038
SOL;20/08/2023;21,773275
SOL;21/08/2023;21,20826
SOL;22/08/2023;20,546541
SOL;23/08/2023;21,703625
SOL;24/08/2023;21,033031
SOL;25/08/2023;20,392719
SOL;26/08/2023;20,280424
SOL;27/08/2023;20,786839
SOL;28/08/2023;20,5571
SOL;29/08/2023;21,780764
SOL;30/08/2023;20,834904
SOL;31/08/2023;19,735092
SOL;01/09/2023;19,327845
SOL;02/09/2023;19,493744
SOL;03/09/2023;19,578747
SOL;04/09/2023;19,499409
SOL;05/09/2023;20,272385
SOL;06/09/2023;19,620029
SOL;07/09/2023;19,890499
SOL;08/09/2023;19,599045
SOL;09/09/2023;19,446072
SOL;10/09/2023;18,248831
SOL;11/09/2023;17,739166
SOL;12/09/2023;17,929827
SOL;13/09/2023;18,403
SOL;14/09/2023;18,838306
SOL;15/09/2023;19,168844
SOL;16/09/2023;19,140369
SOL;17/09/2023;18,831629
SOL;18/09/2023;19,657246
SOL;19/09/2023;20,036188
SOL;20/09/2023;20,304937
SOL;21/09/2023;19,479071
SOL;22/09/2023;19,438145
SOL;23/09/2023;19,473904
SOL;24/09/2023;19,37429
SOL;25/09/2023;19,40414
