crypto;date;courscloture
dodge;19/07/2023;0,070159
dodge;20/07/2023;0,070516
dodge;21/07/2023;0,073295
dodge;22/07/2023;0,070433
dodge;23/07/2023;0,071819
dodge;24/07/2023;0,074268
dodge;25/07/2023;0,081845
dodge;26/07/2023;0,077958
dodge;27/07/2023;0,077562
dodge;28/07/2023;0,077321
dodge;29/07/2023;0,080188
dodge;30/07/2023;0,078061
dodge;31/07/2023;0,077818
dodge;01/08/2023;0,078042
dodge;02/08/2023;0,074213
dodge;03/08/2023;0,073615
dodge;04/08/2023;0,073416
dodge;05/08/2023;0,075686
dodge;06/08/2023;0,074266
dodge;07/08/2023;0,073422
dodge;08/08/2023;0,074986
dodge;09/08/2023;0,075314
dodge;10/08/2023;0,075803
dodge;11/08/2023;0,075666
dodge;12/08/2023;0,076742
dodge;13/08/2023;0,074783
dodge;14/08/2023;0,074731
dodge;15/08/2023;0,070863
dodge;16/08/2023;0,067183
dodge;17/08/2023;0,061185
dodge;18/08/2023;0,063234
dodge;19/08/2023;0,063758
dodge;20/08/2023;0,06383
dodge;21/08/2023;0,062529
dodge;22/08/2023;0,062599
dodge;23/08/2023;0,063778
dodge;24/08/2023;0,063036
dodge;25/08/2023;0,063084
dodge;26/08/2023;0,062868
dodge;27/08/2023;0,063171
dodge;28/08/2023;0,063438
dodge;29/08/2023;0,06639
dodge;30/08/2023;0,065838
dodge;31/08/2023;0,063785
dodge;01/09/2023;0,063849
dodge;02/09/2023;0,063494
dodge;03/09/2023;0,063173
dodge;04/09/2023;0,063185
dodge;05/09/2023;0,063992
dodge;06/09/2023;0,063613
dodge;07/09/2023;0,063579
dodge;08/09/2023;0,063649
dodge;09/09/2023;0,063405
dodge;10/09/2023;0,061327
dodge;11/09/2023;0,060462
dodge;12/09/2023;0,060951
dodge;13/09/2023;0,06128
dodge;14/09/2023;0,062072
dodge;15/09/2023;0,062553
dodge;16/09/2023;0,062148
dodge;17/09/2023;0,061517
dodge;18/09/2023;0,062016
dodge;19/09/2023;0,062709
dodge;20/09/2023;0,06263
dodge;21/09/2023;0,061346
dodge;22/09/2023;0,061531
dodge;23/09/2023;0,061507
dodge;24/09/2023;0,060743
dodge;25/09/2023;0,060959
dodge;26/09/2023;0,060599
dodge;27/09/2023;0,060504
dodge;28/09/2023;0,061484
dodge;29/09/2023;0,062178
dodge;30/09/2023;0,062141
dodge;01/10/2023;0,063193
dodge;02/10/2023;0,06206
dodge;03/10/2023;0,061386
dodge;04/10/2023;0,061488
dodge;05/10/2023;0,060923
dodge;06/10/2023;0,061426
dodge;07/10/2023;0,061455
dodge;08/10/2023;0,061008
dodge;09/10/2023;0,058779
dodge;10/10/2023;0,059025
dodge;11/10/2023;0,05847
dodge;12/10/2023;0,057897
dodge;13/10/2023;0,058398
dodge;14/10/2023;0,059859
dodge;15/10/2023;0,05935
dodge;16/10/2023;0,060114
dodge;17/10/2023;0,05912
dodge;18/10/2023;0,058673
dodge;19/10/2023;0,058883
dodge;20/10/2023;0,059965
dodge;21/10/2023;0,061188
dodge;22/10/2023;0,061596
dodge;23/10/2023;0,067085
dodge;24/10/2023;0,066556
dodge;25/10/2023;0,068361
dodge;26/10/2023;0,071867
dodge;27/10/2023;0,067881
dodge;28/10/2023;0,069001
dodge;29/10/2023;0,069359
dodge;30/10/2023;0,06965
dodge;31/10/2023;0,068277
dodge;01/11/2023;0,068841
dodge;02/11/2023;0,067934
dodge;03/11/2023;0,068144
dodge;04/11/2023;0,069079
dodge;05/11/2023;0,071224
dodge;06/11/2023;0,076381
dodge;07/11/2023;0,073518
dodge;08/11/2023;0,075481
dodge;09/11/2023;0,073461
dodge;10/11/2023;0,075444
dodge;11/11/2023;0,078406
dodge;12/11/2023;0,077981
dodge;13/11/2023;0,074782
dodge;14/11/2023;0,072457
dodge;15/11/2023;0,076356
dodge;16/11/2023;0,079277
dodge;17/11/2023;0,086304
dodge;18/11/2023;0,080383
dodge;19/11/2023;0,080576
dodge;20/11/2023;0,077879
dodge;21/11/2023;0,072119
dodge;22/11/2023;0,075784
dodge;23/11/2023;0,0762
dodge;24/11/2023;0,078217
dodge;25/11/2023;0,078955
dodge;26/11/2023;0,078704
dodge;27/11/2023;0,078788
dodge;28/11/2023;0,081009
dodge;29/11/2023;0,080593
dodge;30/11/2023;0,083417
