crypto;date;courscloture;;;;
avax;06/06/2023;14,62;;;;
avax;05/06/2023;13,87;;;;
avax;04/06/2023;14,78;;;;
avax;03/06/2023;14,58;;;;
avax;02/06/2023;14,49;;;;
avax;01/06/2023;14,09;;;;
avax;31/05/2023;14,11;;;;
avax;30/05/2023;14,45;;;;
avax;29/05/2023;14,48;;;;
avax;28/05/2023;14,89;;;;
avax;27/05/2023;14,57;;;;
avax;26/05/2023;14,32;;;;
avax;25/05/2023;14,08;;;;
avax;24/05/2023;14,15;;;;
avax;23/05/2023;14,71;;;;
avax;22/05/2023;14,68;;;;
avax;21/05/2023;14,31;;;;
avax;20/05/2023;14,63;;;;
avax;19/05/2023;14,68;;;;
avax;18/05/2023;14,68;;;;
avax;17/05/2023;15,16;;;;
avax;16/05/2023;14,9;;;;
avax;15/05/2023;15,08;;;;
avax;14/05/2023;15,03;;;;
avax;13/05/2023;14,91;;;;
avax;12/05/2023;15,18;;;;
avax;11/05/2023;14,96;;;;
avax;10/05/2023;15,52;;;;
avax;09/05/2023;15,31;;;;
avax;08/05/2023;15,41;;;;
avax;07/05/2023;16,42;;;;
avax;06/05/2023;16,58;;;;
avax;05/05/2023;17,38;;;;
avax;04/05/2023;16,93;;;;
avax;03/05/2023;17,21;;;;
avax;02/05/2023;16,84;;;;
avax;01/05/2023;16,65;;;;
avax;30/04/2023;17,08;;;;
avax;29/04/2023;17,49;;;;
avax;28/04/2023;17,55;;;;
avax;27/04/2023;17,73;;;;
avax;26/04/2023;17,18;;;;
avax;25/04/2023;17,63;;;;
avax;24/04/2023;16,92;;;;
avax;23/04/2023;16,85;;;;
avax;22/04/2023;17,21;;;;
avax;21/04/2023;16,94;;;;
avax;20/04/2023;18,31;;;;
avax;19/04/2023;18,99;;;;
avax;18/04/2023;21,2;;;;
avax;17/04/2023;20,51;;;;
avax;16/04/2023;20,19;;;;
avax;15/04/2023;19,07;;;;
avax;14/04/2023;19,22;;;;
avax;13/04/2023;18,84;;;;
avax;12/04/2023;18,25;;;;
avax;11/04/2023;18,13;;;;
avax;10/04/2023;17,94;;;;
avax;09/04/2023;17,54;;;;
avax;08/04/2023;17,46;;;;
avax;07/04/2023;17,6;;;;
avax;06/04/2023;17,97;;;;
avax;05/04/2023;17,99;;;;
avax;04/04/2023;17,65;;;;
avax;03/04/2023;17,11;;;;
avax;02/04/2023;17,26;;;;
avax;01/04/2023;17,8;;;;
avax;31/03/2023;17,7;;;;
avax;30/03/2023;17,23;;;;
avax;29/03/2023;17,31;;;;
avax;28/03/2023;16,7;;;;
avax;27/03/2023;16,49;;;;
avax;26/03/2023;17,12;;;;
avax;25/03/2023;16,89;;;;
avax;24/03/2023;16,94;;;;
avax;23/03/2023;17,54;;;;
avax;22/03/2023;16,73;;;;
avax;21/03/2023;17,44;;;;
avax;20/03/2023;16,63;;;;
avax;19/03/2023;17,5;;;;
avax;18/03/2023;16,98;;;;
avax;17/03/2023;17,65;;;;
avax;16/03/2023;15,84;;;;
avax;15/03/2023;15,55;;;;
avax;14/03/2023;17,15;;;;
avax;13/03/2023;16,46;;;;
avax;12/03/2023;16,15;;;;
avax;11/03/2023;14,51;;;;
avax;10/03/2023;14,8;;;;
avax;09/03/2023;14,43;;;;
avax;08/03/2023;15,12;;;;
avax;07/03/2023;16,17;;;;
avax;06/03/2023;16,51;;;;
avax;05/03/2023;16,14;;;;
avax;04/03/2023;16,14;;;;
avax;03/03/2023;16,66;;;;
avax;02/03/2023;17,46;;;;
avax;01/03/2023;17,78;;;;
avax;28/02/2023;17,09;;;;
avax;27/02/2023;17,93;;;;
avax;26/02/2023;18,44;;;;
avax;25/02/2023;17,95;;;;
avax;24/02/2023;18,38;;;;
avax;23/02/2023;19,71;;;;
avax;22/02/2023;20,32;;;;
avax;21/02/2023;20,97;;;;
avax;20/02/2023;20,82;;;;
avax;19/02/2023;19,83;;;;
avax;18/02/2023;19,55;;;;
avax;17/02/2023;19,47;;;;
avax;16/02/2023;18,59;;;;
avax;15/02/2023;19,94;;;;
avax;14/02/2023;18,14;;;;
avax;13/02/2023;17,62;;;;
avax;12/02/2023;17,78;;;;
avax;11/02/2023;18,01;;;;
avax;10/02/2023;17,79;;;;
avax;09/02/2023;17,91;;;;
avax;08/02/2023;20,11;;;;
avax;07/02/2023;20,85;;;;
avax;06/02/2023;19,54;;;;
avax;05/02/2023;20,08;;;;
avax;04/02/2023;21,05;;;;
avax;03/02/2023;21,35;;;;
avax;02/02/2023;21,17;;;;
avax;01/02/2023;20,95;;;;
avax;31/01/2023;19,81;;;;
avax;30/01/2023;19,74;;;;
avax;29/01/2023;21,03;;;;
avax;28/01/2023;20,58;;;;
avax;27/01/2023;21,2;;;;
avax;26/01/2023;18,1;;;;
avax;25/01/2023;17,78;;;;
avax;24/01/2023;17,01;;;;
avax;23/01/2023;17,98;;;;
avax;22/01/2023;17,34;;;;
avax;21/01/2023;16,87;;;;
avax;20/01/2023;17,51;;;;
avax;19/01/2023;16,19;;;;
avax;18/01/2023;15,84;;;;
avax;17/01/2023;17,13;;;;
avax;16/01/2023;16,74;;;;
avax;15/01/2023;16,8;;;;
avax;14/01/2023;16,95;;;;
avax;13/01/2023;15,96;;;;
avax;12/01/2023;15,44;;;;
avax;11/01/2023;15,86;;;;
avax;10/01/2023;12,72;;;;
avax;09/01/2023;12,19;;;;
avax;08/01/2023;12,08;;;;
avax;07/01/2023;11,73;;;;
avax;06/01/2023;11,78;;;;
avax;05/01/2023;11,74;;;;
avax;04/01/2023;12,08;;;;
avax;03/01/2023;11,38;;;;
avax;02/01/2023;11,16;;;;
avax;01/01/2023;10,87;;;;
